company,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
BUTTERBALL LLC,M1 Baseline (60/40),race,1.75,2.375,0.1526,4.86,NHOPI,0.34,-0.4,1.7,,,,-4.86,,2.58,0.64
BUTTERBALL LLC,M1 Baseline (60/40),gender,4.23,4.23,0.0302,4.23,Male,,,,4.23,,-4.23,,,,
BUTTERBALL LLC,M1 Baseline (60/40),hispanic,9.05,9.05,0.0811,9.05,Hispanic,,,,,-9.05,,,9.05,,
BUTTERBALL LLC,M2 Three-Layer (50/30/20),race,2.6,3.102,0.1646,4.87,NHOPI,-0.11,0.7,-2.83,,,,-4.87,,3.97,3.12
BUTTERBALL LLC,M2 Three-Layer (50/30/20),gender,5.25,5.25,0.0375,5.25,Male,,,,5.25,,-5.25,,,,
BUTTERBALL LLC,M2 Three-Layer (50/30/20),hispanic,9.73,9.73,0.0878,9.73,Not Hispanic,,,,,-9.73,,,9.73,,
BUTTERBALL LLC,M3 IPF,race,4.4,6.001,0.2223,13.2,White,-2.43,-2.35,-2.01,,,,-4.9,,-1.53,13.2
BUTTERBALL LLC,M3 IPF,gender,0.94,0.94,0.0068,0.94,Male,,,,0.94,,-0.94,,,,
BUTTERBALL LLC,M3 IPF,hispanic,22.12,22.12,0.2613,22.12,Not Hispanic,,,,,-22.12,,,22.12,,
BUTTERBALL LLC,M4 Occ-Weighted,race,3.01,3.505,0.1616,5.34,Black,0.69,-0.82,5.34,,,,-4.87,,3.01,-3.36
BUTTERBALL LLC,M4 Occ-Weighted,gender,3.29,3.29,0.0236,3.29,Male,,,,3.29,,-3.29,,,,
BUTTERBALL LLC,M4 Occ-Weighted,hispanic,7.78,7.78,0.0687,7.78,Hispanic,,,,,-7.78,,,7.78,,
BUTTERBALL LLC,M5 Variable-Weight,race,3.61,4.707,0.1557,8.65,White,-0.38,0.46,-5.6,,,,-4.85,,1.7,8.65
BUTTERBALL LLC,M5 Variable-Weight,gender,6.09,6.09,0.0434,6.09,Male,,,,6.09,,-6.09,,,,
BUTTERBALL LLC,M5 Variable-Weight,hispanic,11.59,11.59,0.1071,11.59,Not Hispanic,,,,,-11.59,,,11.59,,
BUTTERBALL LLC,M6 IPF+Occ,race,4.4,6.001,0.2223,13.2,White,-2.43,-2.35,-2.01,,,,-4.9,,-1.53,13.2
BUTTERBALL LLC,M6 IPF+Occ,gender,0.94,0.94,0.0068,0.94,Male,,,,0.94,,-0.94,,,,
BUTTERBALL LLC,M6 IPF+Occ,hispanic,22.12,22.12,0.2613,22.12,Not Hispanic,,,,,-22.12,,,22.12,,
OSI INDUSTRIES LLC,M1 Baseline (60/40),race,14.25,21.683,0.316,37.23,White,-0.23,-4.34,-37.21,,,,-0.99,,5.52,37.23
OSI INDUSTRIES LLC,M1 Baseline (60/40),gender,2.52,2.52,0.0182,2.52,Male,,,,2.52,,-2.52,,,,
OSI INDUSTRIES LLC,M1 Baseline (60/40),hispanic,2.48,2.48,0.0192,2.48,Not Hispanic,,,,,2.48,,,-2.48,,
OSI INDUSTRIES LLC,M2 Three-Layer (50/30/20),race,15.16,22.516,0.3434,40.18,Black,-0.14,-4.2,-40.18,,,,-0.97,,9.04,36.43
OSI INDUSTRIES LLC,M2 Three-Layer (50/30/20),gender,3.9,3.9,0.028,3.9,Male,,,,3.9,,-3.9,,,,
OSI INDUSTRIES LLC,M2 Three-Layer (50/30/20),hispanic,3.1,3.1,0.024,3.1,Not Hispanic,,,,,3.1,,,-3.1,,
OSI INDUSTRIES LLC,M3 IPF,race,21.39,34.434,0.523,64.14,White,-0.55,-6.99,-54.3,,,,-1.03,,-1.3,64.14
OSI INDUSTRIES LLC,M3 IPF,gender,3.28,3.28,0.0239,3.28,Male,,,,-3.28,,3.28,,,,
OSI INDUSTRIES LLC,M3 IPF,hispanic,13.82,13.82,0.1206,13.82,Hispanic,,,,,-13.82,,,13.82,,
