company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
PRISM HOTEL PARTNERS GP,A57288,M4 Occ-Weighted,race,4.69,5.348,0.1496,8.44,White,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,-0.95,-6.0,-5.34,,,,-1.78,,5.64,8.44
PRISM HOTEL PARTNERS GP,A57288,M4 Occ-Weighted,gender,0.82,0.82,0.0059,0.82,Female,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,,,,-0.82,,0.82,,,,
PRISM HOTEL PARTNERS GP,A57288,M4 Occ-Weighted,hispanic,3.94,3.94,0.0284,3.94,Hispanic,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,,,,,3.94,,,-3.94,,
PRISM HOTEL PARTNERS GP,A57288,M5 Variable-Weight,race,4.59,5.426,0.1362,9.7,White,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,-0.89,-5.18,-5.93,,,,-1.77,,4.08,9.7
PRISM HOTEL PARTNERS GP,A57288,M5 Variable-Weight,gender,2.22,2.22,0.0159,2.22,Female,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,,,,-2.22,,2.22,,,,
PRISM HOTEL PARTNERS GP,A57288,M5 Variable-Weight,hispanic,1.56,1.56,0.0113,1.56,Hispanic,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,,,,,1.56,,,-1.56,,
PRISM HOTEL PARTNERS GP,A57288,M6 IPF+Occ,race,12.05,17.03,0.3319,36.15,White,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,-1.37,-9.11,-17.44,,,,-1.83,,-6.4,36.15
PRISM HOTEL PARTNERS GP,A57288,M6 IPF+Occ,gender,2.06,2.06,0.0149,2.06,Female,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,,,,2.06,,-2.06,,,,
PRISM HOTEL PARTNERS GP,A57288,M6 IPF+Occ,hispanic,13.43,13.43,0.1029,13.43,Hispanic,Accommodation/Food Svc (72),1k-9999,South,Medium (25-50%),Urban,,,,,-13.43,,,13.43,,
OUTRIGGER HOTELS & RESORTS,M54666,M1 Baseline (60/40),race,18.74,27.492,0.4366,49.35,Asian,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,0.24,-49.35,1.05,,,,-6.87,,43.93,11.01
OUTRIGGER HOTELS & RESORTS,M54666,M1 Baseline (60/40),gender,5.82,5.82,0.0412,5.82,Female,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,-5.82,,5.82,,,,
