uml_id,band,source_system,match_method,confidence_score,source_id,source_name,source_city,source_state,target_id,target_name,target_city,target_state,name_similarity,state_match,city_match,triage,manual_label,manual_notes
1463957,MEDIUM,osha,FUZZY_TRIGRAM,0.750,31a8ccc506bccf0642779813d5a05c45,H J H CONSTRUCTION INC,PALM SPRINGS,CA,706a3099fbc82b89,"HMS Construction, Inc.",Vista ,CA,0.824,True,False,LOW_RISK,Likely Correct,
227194,MEDIUM,crosswalk,CROSSWALK,0.800,440149570,,,,e52fc32261c42282,Amalgamated Transit Union Local 1498,Independence,MO,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
1571592,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,af352347cc3eaae3d10dc6fbb6a9720b,SYAR INDUSTRIES INC,VALLEJO,CA,e8cc88881bbb7e4d,Syar Industries,Napa,CA,1.0,True,False,LOW_RISK,Likely Correct,
2452452,MEDIUM,sam,FUZZY_TRIGRAM,0.781,KAQQBWNFDA38,SAN FRANCISCO BAY UNIVERSITY,FREMONT,CA,4e166e415e5f40b0,University of San Francisco,San Francisco,CA,0.5,True,False,REVIEW_MEDIUM_RISK,Needs Human Review,
217747,MEDIUM,crosswalk,CROSSWALK,0.800,250556200,,,,0f382efeda201a74,The Homewood Cemetery,Pittsburgh,PA,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
2409717,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,H99LNYKKXVE5,TAYLOR MACHINE WORKS INC,LOUISVILLE,MS,5ef77ec8c53cc4aa,Taylor Machine Works,Louisville,MS,1.0,True,True,LOW_RISK,Likely Correct,
1620125,MEDIUM,osha,FUZZY_SPLINK_ADAPTIVE,0.775,e429d0467670200c7015c3cc972f4e40,BALTIMORE COUNTY GOVERNMENT,ESSEX,MD,539381faef53c716,Baltimore Convention Center,Baltimore,MD,0.63,True,False,REVIEW_MEDIUM_RISK,Needs Human Review,
196256,MEDIUM,nlrb,name_state_exact,0.900,106936,NBC,New York,NY,b5e92785292a35b9,"NBC, Inc.",New York,NY,1.0,True,True,LOW_RISK,Likely Correct,
1569236,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,a7089d08672b8a49aae89c6d67286c26,"Q & D CONSTRUCTION, INC.",RENO,NV,adbacd069bcde0cf,Q&D Construction LLC,Sparks,NV,1.0,True,False,LOW_RISK,Likely Correct,
1527922,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,5e63e1dfd870eed86bd70d8bfcb22608,"SHELLY AND SANDS, INC.",WESTERVILLE,OH,bffa77a46376336c,Shelly and Sands,Zanesville,OH,1.0,True,False,LOW_RISK,Likely Correct,
206381,MEDIUM,crosswalk,CROSSWALK,0.800,860089715,,,,03773d3211357801,IBEW Local 1116,Tucson,AZ,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
193141,MEDIUM,nlrb,name_zip_exact,0.980,66901,"Graphic Packaging International, Inc.",PHOENIXVILLE,PA,35ce707f0800b9ba,Graphic Packaging International Inc.,Phoenixville,PA,1.0,True,True,LOW_RISK,Likely Correct,
200071,MEDIUM,nlrb,name_zip_exact,0.980,158118,Trinity Transportation Pontiac,Pontiac,MI,ed6801c7fdb45fb6,Trinity Transportation Pontiac,Pontiac,MI,1.0,True,True,LOW_RISK,Likely Correct,
1583491,MEDIUM,osha,FUZZY_SPLINK_ADAPTIVE,0.775,89608f5886b0c63c7ccf866c241a1974,"SOUTHERN ILLINOIS MOTOR XPRESS, INC.",CUTLER,IL,c95accaf38846850,Southern Illinois Sand & Transfer Inc,Chester,IL,0.689,True,False,LOW_RISK,Needs Human Review,
1390421,MEDIUM,osha,NAME_AGGRESSIVE_STATE_CITY_RESOLVED,0.750,3dd47ba169ec1f20a68841a713dad8c7,THARCO CONTAINERS INC,SANTA FE SPRINGS,CA,3c49608d9f7ed1b4,THARCO CONTAINERS,Santa Fe Springs,CA,1.0,True,True,LOW_RISK,Likely Correct,
2026887,MEDIUM,sec,FUZZY_TRIGRAM,0.704,1092013,ACME COMMUNICATIONS INC,SANTA ANA,CA,d89849ca1d830e53,RT COMMUNICATIONS INC,Danville,CA,0.833,True,False,LOW_RISK,Likely Correct,
208129,MEDIUM,crosswalk,USASPENDING_EXACT_NAME_STATE,0.800,450433247,,,ND,119e302ca3d9996c,Cass County Electric Cooperative,Fargo,ND,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
2361720,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,DBHNKYN1CDM4,STEUBEN RURAL ELECTRIC COOPERATIVE INC,BATH,NY,840d7a21b06b9fed,Steuben Rural Electric Cooperative,Bath,NY,1.0,True,True,LOW_RISK,Likely Correct,
197376,MEDIUM,nlrb,name_zip_exact,0.980,122686,PRO CHOICE BEAUTY CARE,Bellport,NY,63ecaf79077090d1,Pro Choice Beauty Care,Bellport,NY,1.0,True,True,LOW_RISK,Likely Correct,
227094,MEDIUM,crosswalk,CROSSWALK,0.800,843668757,,,,e37db1f5e0c98d92,Tractor Supply Company,Columbia,TN,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
