f_num,union_name,local_number,desig_name,city,state,members,yr_covered
18395,TEAMSTERS,231,LU,BELLINGHAM,WA,2335,2024
37965,TEAMSTERS,236,LU,Paducah,KY,388,2024
6334,TEAMSTERS,238,LU,CEDAR RAPIDS,IA,4661,2024
30804,TEAMSTERS,243,LU,PLYMOUTH,MI,5188,2024
19782,TEAMSTERS,244,LU,VALLEY VIEW,OH,0,2017
45585,TEAMSTERS,245,LU,SPRINGFIELD,MO,2074,2024
28810,TEAMSTERS,247,LU,DETROIT,MI,2081,2024
28815,TEAMSTERS,249,LU,PITTSBURGH,PA,3134,2024
14231,TEAMSTERS,250,LU,PITTSBURGH,PA,1399,2024
30541,TEAMSTERS,251,LU,EAST PROVIDENCE,RI,6957,2024
1682,TEAMSTERS,252,LU,CENTRALIA,WA,2253,2024
10214,TEAMSTERS,259,LU,Boston,MA,193,2016
15399,TEAMSTERS,261,LU,NEW CASTLE,PA,1512,2024
38823,TEAMSTERS,264,LU,CHEEKTOWAGA,NY,3666,2024
517774,TEAMSTERS,267,LU,Fort Collins,CO,440,2024
37852,TEAMSTERS,270,LU,NEW ORLEANS,LA,2952,2024
10930,TEAMSTERS,272,LU,NEW YORK CITY,NY,7808,2024
9315,TEAMSTERS,279,LU,SPRINGFIELD,IL,591,2016
9185,TEAMSTERS,282,LU,LAKE SUCCESS,NY,3357,2024
22549,TEAMSTERS,283,LU,WYANDOTTE,MI,857,2024
510186,TEAMSTERS,284,LU,COLUMBUS,OH,3139,2024
46335,TEAMSTERS,287,LU,SAN JOSE,CA,0,2020
37328,TEAMSTERS,289,LU,MINNEAPOLIS,MN,929,2024
13201,TEAMSTERS,293,LU,CLEVELAND,OH,1324,2024
42415,TEAMSTERS,294,LU,ALBANY,NY,5824,2024
15398,TEAMSTERS,295,LU,VALLEY STREAM,NY,1833,2024
34784,TEAMSTERS,299,LU,DETROIT,MI,3726,2024
25052,TEAMSTERS,301,LU,WAUKEGAN,IL,752,2024
5158,TEAMSTERS,305,LU,PORTLAND,OR,3570,2024
9225,TEAMSTERS,311,LU,BALTIMORE,MD,1420,2015
4079,TEAMSTERS,312,LU,CHESTER,PA,0,2020
43832,TEAMSTERS,313,LU,TACOMA,WA,1758,2024
9807,TEAMSTERS,315,LU,MARTINEZ,CA,5736,2024
48830,TEAMSTERS,317,LU,SYRACUSE,NY,4857,2024
22443,TEAMSTERS,322,LU,RICHMOND,VA,1796,2024
34414,TEAMSTERS,324,LU,SALEM,OR,1828,2024
42250,TEAMSTERS,325,LU,ROCKFORD,IL,784,2024
65291,TEAMSTERS,326,LU,NEW CASTLE,DE,1480,2024
22830,TEAMSTERS,327,LU,NASHVILLE,TN,743,2024
40100,TEAMSTERS,330,LU,ELGIN,IL,2026,2024
11756,TEAMSTERS,331,LU,EGG HARBOR CITY,NJ,1351,2024
33299,TEAMSTERS,332,LU,FLINT,MI,2898,2024
43009,TEAMSTERS,336,LU,INDEPENDENCE,OH,423,2014
33283,TEAMSTERS,337,LU,DETROIT,MI,5980,2024
11443,TEAMSTERS,340,LU,SOUTH PORTLAND,ME,3701,2024
31857,TEAMSTERS,341,LU,Pittsburgh,PA,438,2024
36973,TEAMSTERS,344,LU,WEST ALLIS,WI,4922,2024
26071,TEAMSTERS,346,LU,DULUTH,MN,2007,2024
14298,TEAMSTERS,347,LU,BELLEVILLE,IL,0,2014
26316,TEAMSTERS,348,LU,AKRON,OH,1472,2024
34911,TEAMSTERS,350,LU,SAN FRANCISCO,CA,2458,2024
28763,TEAMSTERS,355,LU,BALTIMORE,MD,6031,2024
540115,TEAMSTERS,357,LU,CARMEL,IN,1962,2024
39529,TEAMSTERS,364,LU,SOUTH BEND,IN,2003,2024
36228,TEAMSTERS,371,LU,ROCK ISLAND,IL,929,2024
21376,TEAMSTERS,372,LU,DETROIT,MI,793,2017
43199,TEAMSTERS,373,LU,FORT SMITH,AR,962,2024
5014,TEAMSTERS,375,LU,BUFFALO,NY,1078,2013
39225,TEAMSTERS,377,LU,YOUNGSTOWN,OH,2439,2024
33659,TEAMSTERS,381,LU,SO EL MONTE,CA,1210,2012
11689,TEAMSTERS,384,LU,NORRISTOWN,PA,4998,2024
64705,TEAMSTERS,385,LU,ORLANDO,FL,8642,2024
41413,TEAMSTERS,386,LU,MODESTO,CA,3593,2024
34217,TEAMSTERS,391,LU,GREENSBORO,NC,8506,2024
21509,TEAMSTERS,396,LU,COVINA,CA,18864,2024
11023,TEAMSTERS,397,LU,ERIE,PA,1292,2024
36960,TEAMSTERS,399,LU,NORTH HOLLYWOOD,CA,5698,2024
9109,TEAMSTERS,400,LU,CLEVELAND,OH,532,2024
31827,TEAMSTERS,401,LU,WILKES-BARRE,PA,1170,2024
23486,TEAMSTERS,402,LU,MUSCLE SHOALS,AL,943,2024
22573,TEAMSTERS,404,LU,SPRINGFIELD,MA,709,2024
29589,TEAMSTERS,406,LU,GRAND RAPIDS,MI,9339,2024
11109,TEAMSTERS,407,LU,CLEVELAND,OH,2482,2024
15397,TEAMSTERS,413,LU,COLUMBUS,OH,4409,2024
17875,TEAMSTERS,414,LU,FORT WAYNE,IN,16036,2024
16339,TEAMSTERS,416,LU,CLEVELAND,OH,471,2025
33012,TEAMSTERS,429,LU,WYOMISSING,PA,2312,2024
28816,TEAMSTERS,431,LU,FRESNO,CA,2760,2024
18978,TEAMSTERS,436,LU,VALLEY VIEW,OH,1956,2024
14236,TEAMSTERS,439,LU,STOCKTON,CA,5406,2024
35774,TEAMSTERS,443,LU,NEW HAVEN,CT,2789,2024
27514,TEAMSTERS,445,LU,ROCK TAVERN,NY,2277,2024
2199,TEAMSTERS,449,LU,BUFFALO,NY,2996,2024
1015,TEAMSTERS,453,LU,WASHINGTON,DC,0,2024
2409,TEAMSTERS,455,LU,DENVER,CO,12099,2024
21006,TEAMSTERS,456,LU,ELMSFORD,NY,8231,2024
5506,TEAMSTERS,463,LU,FORT WASHINGTON,PA,1491,2024
22600,TEAMSTERS,469,LU,Hazlet,NJ,3422,2024
7884,TEAMSTERS,471,LU,MINNEAPOLIS,MN,1073,2024
38241,TEAMSTERS,473,LU,VALLEY VIEW,OH,350,2025
63169,TEAMSTERS,480,LU,NASHVILLE,TN,4127,2024
46777,TEAMSTERS,481,LU,SAN DIEGO,CA,3822,2024
41134,TEAMSTERS,483,LU,BOISE,ID,0,2025
23984,TEAMSTERS,486,LU,GRAND RAPIDS,MI,2449,2013
16605,TEAMSTERS,491,LU,UNIONTOWN,PA,1000,2024
25801,TEAMSTERS,492,LU,ALBUQUERQUE,NM,10213,2024
12610,TEAMSTERS,493,LU,UNCASVILLE,CT,1672,2024
22982,TEAMSTERS,495,LU,COVINA,CA,11180,2024
65960,TEAMSTERS,500,LU,PHILADELPHIA,PA,1072,2024
35252,TEAMSTERS,505,LU,HUNTINGTON,WV,3270,2012
64048,TEAMSTERS,507,LU,CLEVELAND,OH,2741,2024
36315,TEAMSTERS,509,LU,WEST COLUMBIA,SC,4724,2024
66032,TEAMSTERS,510,LU,ORRVILLE,OH,462,2010
35339,TEAMSTERS,512,LU,JACKSONVILLE,FL,4633,2024
542514,TEAMSTERS,513,LU,WASHINGTON,DC,0,2013
37897,TEAMSTERS,516,LU,MUSKOGEE,OK,944,2024
20397,TEAMSTERS,517,LU,VISALIA,CA,1844,2024
19538,TEAMSTERS,519,LU,KNOXVILLE,TN,13331,2024
17806,TEAMSTERS,522,LU,RAHWAY,NJ,995,2024
33164,TEAMSTERS,523,LU,TULSA,OK,368,2019
4825,TEAMSTERS,525,LU,ALTON,IL,1292,2024
62785,TEAMSTERS,528,LU,JONESBORO,GA,2081,2024
10359,TEAMSTERS,529,LU,ELMIRA,NY,741,2020
14938,TEAMSTERS,533,LU,RENO,NV,2436,2024
2139,TEAMSTERS,538,LU,WORTHINGTON,PA,771,2024
16715,TEAMSTERS,541,LU,KANSAS CITY,MO,785,2024
38722,TEAMSTERS,542,LU,SAN DIEGO,CA,8129,2024
22889,TEAMSTERS,550,LU,NEW HYDE PARK,NY,0,2013
9344,TEAMSTERS,553,LU,NEW YORK,NY,2400,2024
37997,TEAMSTERS,554,LU,OMAHA,NE,3359,2024
42034,TEAMSTERS,559,LU,SOUTH WINDSOR,CT,828,2019
21915,TEAMSTERS,560,LU,ELMWOOD PARK,NJ,2428,2024
35307,TEAMSTERS,568,LU,SHREVEPORT,LA,980,2024
27440,TEAMSTERS,570,LU,BALTIMORE,MD,4148,2024
24471,TEAMSTERS,572,LU,CARSON,CA,11435,2024
16751,TEAMSTERS,577,LU,AMARILLO,TX,4297,2024
34130,TEAMSTERS,580,LU,LANSING,MI,1308,2015
12619,TEAMSTERS,584,LU,NEW YORK,NY,1330,2014
17186,TEAMSTERS,585,LU,WASHINGTON,PA,831,2024
