script,destructive_rebuild,reads,writes
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_sec_edgar.py,True,db_config;sec_companies;zip,if;sec_companies
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_whd_national.py,True,db_config;whd_cases,if;in;print;to;whd_cases
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\parse_bls_union_tables.py,True,bls_national_industry_density;bls_state_density;bs4;db_config;downloaded;numbers;pathlib;table,bls_national_industry_density;bls_state_density;found;if;set;structure;table;to
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\parse_oews_employment_matrix.py,True,bls_industry_occupation_matrix;db_config;matrix;pathlib;typing,bls_industry_occupation_matrix;if;row;set;v_industry_top_occupations
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\sec_edgar_full_index.py,False,datetime;db_config;pathlib;sec;sec_companies;typing,sec_companies;set
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\seed_master_chunked.py,False,__future__;bmf_candidates;corporate_identifier_crosswalk;db_config;irs_bmf;master_employer_source_ids;master_employers;me_candidates;mergent;mergent_employers;pathlib,master_employer_source_ids;master_employers
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\seed_master_from_sources.py,False,__future__;bmf_candidates;corporate_identifier_crosswalk;db_config;irs_bmf;mapped;master_employer_source_ids;master_employers;me_candidates;mergent_employers;pathlib;sam;sam_candidates;sam_entities;sam_f7_matches;source;typing,master_employer_source_ids;master_employers
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\setup_afscme_scraper.py,True,db_config;union;unions_master;web_union_profiles,if;or;to;web_union_profiles
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\update_normalization.py,False,cleanco;db_config;gleif_us_entities,name_normalized;normalized
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\__init__.py,False,,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\__main__.py,False,,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\__init__.py,False,,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\bmf_adapter_module.py,False,corporate_identifier_crosswalk;db_config;f7_employers_deduped;irs_bmf;pathlib;unified_match_log,corporate_identifier_crosswalk;ein;with
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\corpwatch_adapter.py,False,corpwatch_companies;db_config;pathlib;unified_match_log,corpwatch_f7_matches;set;so
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\n990_adapter.py,False,db_config;national_990_f7_matches;national_990_filers;pathlib,national_990_f7_matches;so
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\osha_adapter.py,False,db_config;osha_establishments;osha_f7_matches;pathlib,osha_f7_matches;set;so
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\sam_adapter.py,False,db_config;pathlib;sam_entities;sam_f7_matches,sam_f7_matches;set;so
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\sec_adapter_module.py,False,corporate_identifier_crosswalk;db_config;pathlib;sec_companies;unified_match_log,corporate_identifier_crosswalk;existing;with
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\adapters\whd_adapter.py,False,db_config;pathlib;whd_cases;whd_f7_matches,set;so;whd_f7_matches
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\backfill_name_columns.py,False,db_config;f7_employers_deduped;pathlib,f7_employers_deduped;from
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\build_employer_groups.py,True,collections;db_config;employer_canonical_groups;f7_employers_deduped;pathlib;rapidfuzz;unions_master,cascade;employer_canonical_groups;existing;f7_employers_deduped;if;members
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\cli.py,False,datetime;db_config,
